TITLE: Bill of Materials
BOM NO: 05-066247-01-c.csv
DATE: 04/28/2023
DESIGN: 02_066247c_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_066247c\worklib\02_066247c_top\bom\bom.log.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
87,2,E022198,CONN-PCB UMC JACK STR 50 OHM SMD," U.FL-R-SMT-1(01)",CNHIROSE-U_FL-R-SMT-1,N/A,N/A,N/A,"RX1,RX2",HIROSE ELECTRIC," U.FL-R-SMT-1(01)",REL,N/A,N/A,N/A,N/A,N/A,?,?
88,1,E007214,SW 6.0MMX3.5MM SQUARE LIGHT TOUCH," EVQPNF04M",SWSMSPST,N/A,N/A,N/A,S3,PANASONIC," EVQ-PNF04M",REL,N/A,N/A,N/A,N/A,6003229,?,?
89,3,E007073,XFMR RF 1:1," TC1-1-13M+",AT224-1,N/A,N/A,N/A,"T1,T2,T3",MINI CIRCUITS LABS," TC1-1-13M+",REL,A005-0001-264,N/A,N/A,N/A,6002769,?,?
90,4,E019073,IC-TTL 4-B DUAL SUPPLY BUS TRANSCEIVER WITH 3-STATE OUTPUTS," SN74AVC4T245PW",TSSOP16,N/A,N/A,?,"U1,U2,U27,U39",TEXAS INSTRUMENTS," SN74AVC4T245PW",REL,N/A,N/A,N/A,N/A,1005837,?,?
91,3,E040737,IC-ADI NON-REFLECTIVE SPDT SWITCH," ADRF5019BCPZN",QFN16_3X3_PAD1_7X1_7,N/A,N/A,?,"U10,U23,U24",ANALOG DEVICES," ADRF5019BCPZN",REL,N/A,N/A,N/A,N/A,N/A,?,?
92,2,E022591,"IC-ADI ULTRA LOW NOISE, HIGH PSRR, FAST TRANSIENT RESPONSE CMOS LDO"," ADM7170ACPZ-4.2",DFN8_3X3_PAD2_38X1_64,N/A,N/A,?,"U11,U28",ANALOG DEVICES," ADM7170ACPZ-4.2-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?
93,1,E048855,"IC-ADI WIDEBAND FIXED ATTENUATOR FAMILY, DC-50GHZ"," HMC654LP2E",DFN6_2X2_PAD1_4X0_8,N/A,N/A,?,U12,ANALOG DEVICES," HMC654LP2E",REL,N/A,N/A,N/A,N/A,N/A,?,?
94,9,E050279,"IC-ADI WIDEBAND, HIGH LINEARITY,IC-ADI LOW NOISE AMPLIFIER, 6 GHZ TO 18 GHZ"," ADL8107ACPZN",DFN8_2X2_PAD1_6X1,N/A,N/A,?,"U13,U15,U16,U17,U18,U19,U20,U21,U22",ANALOG DEVICES," ADL8107ACPZN",REL,N/A,N/A,N/A,N/A,N/A,?,?
95,3,E033942,IC-LIN 2GHZ TO 14GHZ MICROWAVE MIXER WITH WIDEBAND DC-16GHZ IF," LTC5548IUDB#TRPBF",QFN12_2X3_PAD0_25X0_77,N/A,N/A,?,"U6,U7,U14",LINEAR TECHNOLOGY," LTC5548IUDB#TRPBF",REL,N/A,N/A,N/A,N/A,N/A,?,?
96,2,E025948,IC 2-WAY 1800-12500MEGHZ POWER SLITTER / COMBINER," EP2C+",QFN24_4X4_PAD2_64X2_64,N/A,N/A,?,"U25,U26",MINI CIRCUITS LABS," EP2C+",REL,N/A,N/A,N/A,N/A,N/A,?,?
97,2,E019909,"IC-ADI 800mA, ULTRA LOW NOISE HIGH PSRR, RF LIN-REG 1.8V-OUT"," ADM7150ACPZ-1.8",DFN8_3X3_PAD2_38X1_64,N/A,N/A,?,"U29,U35",ANALOG DEVICES," ADM7150ACPZ-1.8-R7",REL,N/A,N/A,N/A,N/A,N/A,?,?
